nose.x,nose.y,l.eye.x,l.eye.y
,,,
241.4271164,288.4041846,260.8066368,274.4202554
,,,
331.8770599,281.3159466,344.5983505,266.9615865
,,,
331.8346786,281.3011765,344.7425461,267.2468305
,,,
331.3721085,282.8500092,345.2395248,269.4213688
,,,
321.0394669,284.3892932,334.2204285,270.7969844
,,,
306.712513,294.7379708,315.8863831,283.1456244
,,,
241.068306,294.0167427,250.5784416,282.8047514
,,,
314.6642113,294.2671359,324.1062164,283.1967473
,,,
349.9399185,295.4356492,359.7852325,286.8594646
,,,
342.8165436,294.3413794,352.7225113,285.0882947
,,,
341.3030624,293.3121264,352.0220184,284.2654824
,,,
341.0263824,295.8953261,353.99189,284.6630216
,,,
351.072998,295.6357598,361.6613007,285.731256
,,,
354.4504547,298.8274276,367.1672821,287.9564345
,,,
354.6496964,299.110955,367.5485992,288.5378838
,,,
353.9376831,299.7071385,366.8334579,288.904953
